car,motorcycle,bus,truck,total,bbox_area_ratio,mean_bbox_area,max_bbox_area,brightness,sharpness,edge_density,zone_top,zone_mid,zone_bottom,bottom_motor,mid_car,cluster_density,crowd_density,is_night,is_rain,filepath,cam_id,label
5,20,4,1,30,0.23719140625,8096.133333333333,53387.0,125.007373046875,326.670171163086,0.0981513671875,7,15,8,10,2,0.23719140625,6.740536689758301,0,0,dataset_cleaned/cam07_20251203_162459.png,cam07,free_flow
9,24,0,1,34,0.1937626953125,5835.676470588235,122694.0,129.7205244140625,235.36281760736088,0.0595439453125,9,24,1,2,6,0.1937626953125,2.982306480407715,0,0,dataset_cleaned/cam09_20251206_165504.png,cam09,free_flow
11,10,4,3,28,0.208421875,7622.285714285715,154025.0,124.54675390625,315.04041413247575,0.0850732421875,16,11,1,0,5,0.208421875,4.655813217163086,0,0,dataset_cleaned/cam10_20251208_114854.png,cam10,moderate
9,13,0,2,24,0.0626123046875,2671.4583333333335,7973.0,128.7854892578125,291.94845354636294,0.0787314453125,10,13,1,2,3,0.0626123046875,3.328448534011841,0,0,dataset_cleaned/cam10_20251204_145737.png,cam10,free_flow
10,20,0,1,31,0.2424794921875,8009.645161290323,76629.0,130.290740234375,287.6495314694586,0.094904296875,2,25,4,2,7,0.2424794921875,9.100444793701172,0,0,dataset_cleaned/cam09_20251205_093226.png,cam09,moderate
5,9,7,0,21,0.286783203125,13984.095238095239,115900.0,126.0166884765625,304.26943879296874,0.085001953125,8,12,1,1,1,0.286783203125,3.755863666534424,0,0,dataset_cleaned/cam07_20251207_152328.png,cam07,free_flow
15,8,3,2,28,0.1789130859375,6543.107142857143,30672.0,126.005005859375,319.5403565356291,0.09273828125,11,14,3,2,9,0.1789130859375,6.734623432159424,0,0,dataset_cleaned/cam10_20251209_133206.png,cam10,moderate
7,20,2,5,34,0.24201953125,7289.058823529412,41358.0,110.646509765625,370.9246261977197,0.0745673828125,19,8,7,10,2,0.24201953125,6.915374755859375,0,0,dataset_cleaned/cam11_20251207_095354.png,cam11,moderate
5,6,1,0,12,0.0254541015625,2172.0833333333335,8664.0,135.1522998046875,250.492499178711,0.0790322265625,3,9,0,0,3,0.0254541015625,1.7940559387207031,0,0,dataset_cleaned/cam09_20251206_133004.png,cam09,free_flow
6,9,0,2,17,0.111423828125,6711.64705882353,34710.0,111.024734375,289.0953645485839,0.0543271484375,3,14,0,0,3,0.111423828125,5.379983425140381,0,0,dataset_cleaned/cam08_20251209_160646.png,cam08,moderate
